All Transactions Announced Date,Target/Issuer,Transaction Status,"Total Transaction Value ($USDmm, Historical rate)",Buyers/Investors,Sellers,CIQ Transaction ID,Percent Sought (%),Transaction Comments,"Implied Enterprise Value ($USDmm, Historical rate)","Target/Issuer LTM Financials - Total Revenue (at Announcement) ($USDmm, Historical rate)","Target/Issuer LTM Financials - Net Income (at Announcement) ($USDmm, Historical rate)","Acquirer LTM Financials - Total Revenue (at Announcement) ($USDmm, Historical rate)","Acquirer LTM Financials - Net Income (at Announcement) ($USDmm, Historical rate)",Consideration Offered,Target Security Types,Deal Resolution,Accounting Method,Deal Attitude,State/Region From Primary Address [Target/Issuer]
9/11/2008,Advanced Prosthetics-Orthotics of America and Manhasset Orthotics and Custom Design Orthotic,Closed,-,"Hanger, Inc. (NYSE:HGR)",-,IQTR48848944,100,"Hanger Orthopedic Group Inc. acquired Advanced Prosthetics of America Inc., Manhasset Orthotics-Prosthetics Ltd., and Custom Design Orthotic and Prosthetic on September 11, 2008. Terms of the transaction were not disclosed. The acquired clinics had total annual revenue of $8.3 million in 2007. Hanger Orthopedic Group Inc. financed the deal with internally generated cash flows and expect them to be accretive to earnings after the completion of the initial integration period. Christian Fonss, Mariel Estigarribia and David Sanders of Foley & Lardner LLP acted as legal advisors for Hanger Orthopedic Group Inc. Dean, Mead, Egerton, Bloodworth, Capouano & Bozwarth, P.A. acted as legal advisor for seller.",-,8.3,-,671.97,17.46,Cash,Asset,"Hanger Orthopedic Group Inc. completed the acquisition of Advanced Prosthetics of America Inc., Manhasset Orthotics-Prosthetics Ltd. and custom design orthotic and prosthetic of Advanced Prosthetics of America Inc. on September 11, 2008.",Purchase Acquisition,Friendly,-
9/8/2008,Six Home Health Locations,Closed,26.3,Amedisys Inc. (NasdaqGS:AMED),Healthcare Investment Corporation of America,IQTR48675675,100,"Amedisys, Inc. (Nasdaq: AMED) signed a purchase agreement to acquire six home health locations from Home Health Corporation of America, Inc. on September 8, 2008. For the year ended June 30, 2008, six home health locations generated revenues of approximately $23 million. The transaction is subject to regulatory approvals and is expected to close in the beginning of October 2008. Steven Dubow and Matthew Rotenberg of Blank Rome LLP acted as legal advisors for Healthcare Investment Corporation of America.",26.3,23,-,900.65,73.78,Cash,Asset,"Amedisys, Inc. (Nasdaq: AMED) completed the acquisition of Six Home Health Locations from Home Health Corporation of America, Inc. for $26.3 million in cash on October 1, 2008. The transaction is not expected to add materially to Amedisys' earnings in 2008.",Purchase Acquisition,Friendly,-
9/8/2008,"UHS Of Summitridge, LLC",Closed,-,Universal Health Services Inc. (NYSE:UHS),Gwinnett Center for Specialty Medicine I,IQTR49900991,100,"Universal Health Services Inc. (NYSE: UHS) acquired SummitRidge Hospital from Gwinnett Center for Specialty Medicine I on September 8, 2008. The financial terms of the deal were not disclosed. Avondale Partners, LLC acted as financial advisor to Gwinnett Center.",-,-,-,4493.45,184.74,Unknown,Common Equity,"Universal Health Services Inc. (NYSE: UHS) completed the acquisition of SummitRidge Hospital from Gwinnett Center for Specialty Medicine I on September 8, 2008.",Purchase Acquisition,Friendly,Georgia
9/2/2008,Mountaineer Home Health and Jackson County Board of Health,Closed,-,"LHC Group, Inc. (NasdaqGS:LHCG)",-,IQTR47847290,100,"LHC Group, Inc. (NasdaqGS: LHCG) acquired Mountaineer Home Health and Jackson County Board of Health on September 2, 2008. The financial terms of the transaction were not disclosed. For the period ending August 31, 2008, Mountaineer Home Health and Jackson County Board of Health had combined net revenue of $1.3 million. These acquisitions are not expected to add materially to earnings in 2008 for LHC Group, Inc.",-,1.3,-,328.9,21.74,Unknown,Asset,"LHC Group, Inc. (NasdaqGS: LHCG) completed the acquisition of Mountaineer Home Health and Jackson County Board of Health on September 2, 2008.",Purchase Acquisition,Friendly,-
8/19/2008,"Wyoming Valley Health Care System, Inc.",Closed,175.4,"Community Health Systems, Inc. (NYSE:CYH)",-,IQTR51049850,100,"Community Health Systems, Inc. (NYSE: CYH) signed a non-binding letter of intent to acquire Wyoming Valley Health Care System for approximately $170million on August 18, 2008. Under the terms of the agreement $132 million will be paid in cash and $25.2 will be assumed liabilities. All active employees of Wyoming Valley Health Care System will be offered employment in their current positions and at their same compensation levels. The agreement is expected to be signed within next 90 days.

As of April 1, 2009, a definitive agreement was signed. The transaction is subject to consummation of due diligence and approval of the regulatory board including Attorney General of the Commonwealth of Pennsylvania and Court of Common Pleas of Luzerne County, Orphans’ Court division. The transaction is expected to close in the second quarter of 2009. As of April 7, 2009, the deal has been approved by Luzerne County Court.",161.2,-,-,8977.97,50.3,Cash,Common Equity,"Community Health Systems, Inc. (NYSE: CYH) completed the acquisition of Wyoming Valley Health Care System on May 1, 2009.",Purchase Acquisition,Friendly,Pennsylvania
8/12/2008,"Longs Drug Stores, L.L.C.",Closed,2919.41,CVS Caremark Corporation (NYSE:CVS),"Pershing Square Capital Management, L.P.",IQTR47442763,100,"CVS Caremark Corporation (NYSE: CV) signed a definitive agreement to acquire Longs Drug Stores Corporation (NYSE: LDG) from Pershing Square Capital Management, L.P. and other shareholders for approximately $2.6 billion in cash on August 12, 2008. CVS Caremark will pay $71.50 per share of Longs Drug Stores Corporation and will also assume net debt. The offer per share of $71.50 is a premium of 32% over the closing price of Longs Drug Stores Corporation’s shares on August 12, 2008. The termination fee is $115 million. The acquisition will be effected through a tender offer to be launched shortly by a subsidiary of CVS Caremark for all outstanding Longs shares. CVS Caremark plans to finance the acquisition with a $1.5 billion bridge loan facility together with existing cash and liquidity. Lehman Brothers and Deutsche Bank provided the bridge loan financing.

Upon completion, Longs Drug Stores Corporation will become a subsidiary of CVS Caremark Corporation. The Longs Drug Stores Corporation stores in the continental United States will be converted to the CVS Caremark Corporation brand in 2009 and stores in Hawaii will retain the Longs Drug Stores Corporation' name. At the effective time of the merger, any remaining outstanding shares not tendered in the offer, other than shares owned by CVS or any direct or indirect wholly owned subsidiary of CVS or Longs will be acquired for cash at the offer price. The tender offer is subject to, among other things, the condition that at least two-thirds of the outstanding Longs shares are tendered, approval by the Hart-Scott-Rodino Act, approval by Longs Drug Stores’ shareholders and other customary closing conditions. The deal has been approved unanimously by the Board of Longs Drug Stores. The deal is expected to complete in the fourth quarter of 2008. The acquisition is expected to be dilutive for the first year for CVS Caremark Corporation and accretive in the beginning of 2010. On September 5, 2008, the applicable waiting period under the HSR Act relating to the offer expired.

As of October 17, 2008, CVS Caremark extended the expiration of tender offer till October 17, 2008. As of October 16, 2008, CVS Caremark acquired approximately 28.1 million shares representing 77.55% equity of Longs Drug Stores. CVS Caremark Corporation commenced subsequent offer for all remaining shares of Longs to permit stockholders who have not yet tendered their shares, subsequent offer ends on October 28, 2008.

Lehman Brothers and Deutsche Bank acted as financial advisors for CVS Caremark Corporation. Hogan & Hartson LLP served as legal advisors for CVS Caremark Corporation. J.P. Morgan Securities Inc. served as financial advisor for Longs Drug Stores. J.P. Morgan received an advisory fee of $14.8 million for its services. Louis L. Goldberg, John D. Amorosi, Ashleigh S. Kyle, Alexander N. Macleod, Robby Sen, Michael Mollerus, Neil Weinberg, Melissa R. Middleton, Barbara Nims, Edmond T. FitzGerald, Natasha Sankovitch, Loyti Cheng, James A. Florack and Jason Kyrwood of Davis Polk & Wardwell served as the legal advisors for CVS Caremark. Edward Herlihy, David Shapiro, Jeannemarie O'Brien, Joseph Larson and Joshua Holmes of Wachtell, Lipton, Rosen & Katz acted as legal advisors for Longs Drug Stores. Julian Kleindorfer and Davis Schwartzbaum of Latham & Watkins LLP acted as legal advisors to Deutsche Bank. Morrow & Co., Inc. acted as information agent and Mellon Investor Services LLC acted as depository for Longs Drug Stores. Michelle Rutta of Dewey & LeBoeuf LLP acted as the legal advisor of Lehman Brothers Inc. and Deutsche Bank Securities Inc. Bruce Sokler, Susan Berson, Steve Friedberg and Susan Phillips of Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C. acted as legal advisors to CVS Caremark Corporation. Donald A. Bussard and C. Stephen Bigler of Richards, Layton & Finger, P.A. acted as legal advisors for CVS Caremark Corporation.",2883.54,5430.72,107.71,84903.9,3062.2,Cash,Common Equity; Rights / Warrants / Options,"CVS Caremark Corporation (NYSE: CV) completed the acquisition of Longs Drug Stores Corporation (NYSE: LDG) from Pershing Square Capital Management, L.P. and other shareholders on October 20, 2008. CVS Caremark Corporation has acquired 78.6% stake of Longs Drug Stores Corporation. The remaining shares will be acquired through a short form merger on or about October 30, 2008, without a meeting with Longs Drug Stores Corporation’s shareholders. The short form merger will be effected at the same cash price of $71.5 per share. Upon closing, Longs Drug Stores Corporation will cease to trade on New York Stock Exchange.",Purchase Acquisition,Friendly,California
8/3/2008,"Morristown-Hamblen HomeCare and Hospice, LLC",Closed,-,"LHC Group, Inc. (NasdaqGS:LHCG)",Morristown-Hamblen Hospital Association,IQTR47276595,100,"LHC Group, Inc. (NasdaqGS: LHCG) acquired Morristown-Hamblen Home Health and Hospice from Morristown-Hamblen Healthcare System on August 3, 2008. The terms of the transaction were not disclosed. Morristown-Hamblen Home Health and Hospice will operate as a subsidiary of LHC Group’s home care partnership with the University of Tennessee Medical Center. The agencies will operate under the name of Morristown-Hamblen HomeCare and Hospice. The transaction is not expected to add materially to earnings in 2008.",-,-,-,328.9,21.74,Unknown,Asset,"LHC Group, Inc. (NasdaqGS: LHCG) completed the acquisition of Morristown-Hamblen Home Health and Hospice from Morristown-Hamblen Healthcare System on August 3, 2008.",Purchase Acquisition,Friendly,Tennessee
7/29/2008,"Health Management Associates, Inc., Five Home Health Agencies",Closed,6.7,Amedisys Inc. (NasdaqGS:AMED),Health Management Associates Inc.,IQTR45478399,100,"Amedisys, Inc. (Nasdaq: AMED) acquired five home-health agencies from Health Management Associates Inc. (NYSE: HMA) for $6.7 million on May 9 2008. The agencies are located in Mississippi, South Carolina and Missouri. The transaction is expected to initially contribute approximately $4 million in annualized revenues, but is not expected to add significantly to Amedisys' earnings in 2008. Raymond James & Associates acted as a financial advisor to Amedisys.",6.7,-,-,900.65,73.78,Cash,Asset,"Amedisys, Inc. (Nasdaq: AMED) completed the acquisition of five home-health agencies from Health Management Associates Inc. (NYSE: HMA) on May 9, 2008.",Purchase Acquisition,Friendly,-
6/30/2008,Affinity Hospital LLC,Closed,51.5,"Community Health Systems, Inc. (NYSE:CYH)","Baptist Health System, Inc.",IQTR46429264,35,"Community Health Systems, Inc. (NYSE: CYH) acquired the remaining 35% interest in Trinity Medical Center from Baptist Health Systems for a consideration of $51.5 million on June 30, 2008. The purchase price is $51.5 million in cash and the cancellation of a promissory note issued by Baptist in the original principal amount of $32.8 million. Trinity Medical Center operates as a joint venture between Community Health Systems, Inc. (NYSE: CYH) and Baptist Health Systems.",147.14,-,-,8977.97,50.3,Cash,Common Equity,"Community Health Systems, Inc. (NYSE: CYH) completed the acquisition of remaining 35% interest in Trinity Medical Center from Baptist Health Systems on June 30, 2008.",Purchase Acquisition,Friendly,Alabama
5/19/2008,"Home Care Solutions, Inc.",Closed,-,"LHC Group, Inc. (NasdaqGS:LHCG)",-,IQTR44928048,100,"LHC Group, Inc. (NasdaqNM: LHCG) signed definitive agreements to acquire the assets of Home Care Solutions, Inc. on May 19, 2008. The financial terms of the deal were not disclosed. Home Care Solutions had total annual Medicare revenue for 2007 of approximately $11.1 million. The acquisition is expected to be accretive to earnings in the second half of 2008.",-,-,-,310.83,20.9,Unknown,Asset,"LHC Group, Inc. (NasdaqNM: LHCG) completed the acquisition of Home Care Solutions, Inc. on June 2, 2008.",Purchase Acquisition,Friendly,Tennessee
5/7/2008,Six Patient Care Centers,Closed,2.4,"Hanger, Inc. (NYSE:HGR)",-,IQTR52064769,100,"Hanger Orthopedic Group Inc. (NYSE: HGR) acquired six patient care centers for $2.4 million in cash and debt during the three month period ended March 31, 2008. Hanger Orthopedic Group will pay $1.2 million in cash, $1 million in promissory notes, and a $0.2 million holdback. The six patient care centers include Maine Artificial Limb Co., Orthotics Center, Rocky Mountain Orthotic-Prosthetics Center, Riessen's Orthopedic and Prosthetic Services, Inc., First Coast Orthotics & Prosthetics, and Orthopedic Rehabilitation Products, Inc. Hanger Orthopedic financed the purchase with internally generated cash flows. The transaction is expected to be accretive to earnings of Hanger Orthopedic. Foley & Lardner LLP acted as legal advisor for Hanger Orthopedic Group Inc.",2.4,-,-,651.16,19.38,Cash; Combinations,Asset,"Hanger Orthopedic Group Inc. (NYSE: HGR) completed the acquisition of six patient care centers during the three month period ended March 31, 2008.",Purchase Acquisition,Friendly,-
5/1/2008,"River West Home Care, LLC",Closed,-,"LHC Group, Inc. (NasdaqGS:LHCG)",Carraway Medical Systems LLC,IQTR44304345,100,"LHC Group, Inc. (NasdaqNM: LHCG) acquired the assets of River West Home Care from Shiloh Health Services, Inc. on May 1, 2008. The terms of the transaction were not disclosed. River West Home Care had revenues of $0.5 million in 2007.",-,0.5,-,310.83,20.9,Unknown,Asset,"LHC Group, Inc. (NasdaqNM: LHCG) completed the acquisition of the assets of River West Home Care from Shiloh Health Services, Inc. on May 1, 2008.",Purchase Acquisition,Friendly,Louisiana
5/1/2008,A 130-Bed Skilled Nursing Facility In Scottsdale,Closed,5.2,"The Ensign Group, Inc. (NasdaqGS:ENSG)",-,IQTR44680491,100,"The Ensign Group, Inc. (NasdaqNM: ENSG) acquired a 130-bed skilled nursing facility in Scottsdale for $5.2 million in cash on May 1, 2008. The consideration was paid from Ensign's IPO proceeds.",5.2,-,-,427.12,22.51,Cash,Asset,"The Ensign Group, Inc. (NasdaqNM: ENSG) completed the acquisition of a 130-bed skilled nursing facility in Scottsdale on May 1, 2008.",Purchase Acquisition,Friendly,Arizona
3/31/2008,"Home Care Connections, Inc.",Closed,-,"LHC Group, Inc. (NasdaqGS:LHCG)",-,IQTR42917211,100,"LHC Group, Inc. (NasdaqNM: LHCG) acquired Home Care Connections, Inc. on March 31, 2008. The terms of the transaction were not disclosed. The acquisition consists of four locations in Amarillo, Odessa, Uvalde and San Antonio, Texas.",-,-,-,310.83,20.9,Unknown,Asset,"LHC Group, Inc. (NasdaqNM: LHCG) completed the acquisition of Home Care Connections, Inc. on March 31, 2008.",Purchase Acquisition,Friendly,Texas
3/14/2008,"Take Care Health Systems, Inc.",Closed,276.49,Walgreen Co. (NYSE:WAG),-,IQTR42374954,100,"Walgreen Co. (NYSE: WAG) signed an agreement and plan of merger to acquire I-trax, Inc. (AMEX: DMX) for approximately $255.4 million in cash on March 14, 2008. Under the terms Walgreen will commence a tender offer to acquire all outstanding shares of I-Trax at an offer price of $5.4 per share for a total of 41.8 million shares; and pay $54 per share to acquire approximately 0.22 million series A convertible preferred stock for a total consideration of $11.72 million. Walgreen will also pay approximately $14.1 million to acquire 4.5 million options, and approximately $4.2 million to acquire 1.6 million warrants of I-Trax.

Following the consummation of the offer, I-trax shares not acquired in the tender offer will be converted into the right to receive the applicable per share consideration. In the event of termination, I-trax will pay Walgreen a fee of $8.2 million and in case Walgreen terminates the deal, it will be obliged to pay I-trax a termination fee of $10 million. In a separate transaction, Walgreen entered into an agreement to acquire Whole Health Management on March 14, 2008.

The deal was unanimously approved by I-trax's Board of Directors, and also by Walgreen's Board of Directors. The deal is subject to acceptance of tender offer by holders of a majority of I-trax shares outstanding, regulatory approvals, Hart-Scott-Rodino Antitrust Improvements Act of 1976, tender of at least 50% of the number of shares of I-trax's common stock and other customary conditions. The acquisition is expected to close within 60 days.

Walgreen commenced the offer on March 28, 2008.  The offer and withdrawal rights are currently scheduled to expire on April 24, 2008.As of April 11, 2008, the transaction received antitrust approval by FTC under the HSR Act.

Bryant Park Capital, Inc. acted as broker and financial advisor while Justin P. Klein of Ballard Spahr Andrews & Ingersoll, LLP and Stephen M. Cohen of Fox Rothschild LLP acted as legal advisors to I-trax, Inc. Peter J. Solomon Co. acted as financial advisor while Keith S. Crow, P.C. of Kirkland & Ellis LLP acted as legal advisor to Walgreen Co. Barnes & Thornburg LLP acted as legal advisor to Walgreen. Triple Tree acted as financial advisor for I-Trax. Morgan, Lewis & Bockius LLP acted as legal advisor to Bryant Park Capital. Bryant Park Capital has been paid retainer fees of $10,000 per month, and, subject to consummation of the transaction, will be paid an additional fee equal to 1.25% of the total amount paid or payable, directly or indirectly, to I-trax or its stockholders in the transaction, less an allowance of $60,000 for retainer fees previously paid. Pursuant to an engagement letter dated January 24, 2008, Bryant Park Capital was also paid separate fees of $175,000 in connection with the rendering of its opinion, the payment of which was not contingent upon consummation of the transaction.",266.42,143.19,-0.379,56541.3,2099.1,Cash,Common Equity; Hybrid Securities; Rights / Warrants / Options,"Walgreen Co. (NYSE: WAG) completed the acquisition of approximately 96.3% stake of I-trax, Inc. (AMEX: DMX) on April 24, 2008. The remaining shares will be acquired in a short form merger. As of April 30, 2008, Walgreen Co. completed the acquisition of I-trax, Inc.",Purchase Acquisition,Friendly,Pennsylvania
3/14/2008,"Whole Health Management, LLC",Closed,-,Walgreen Co. (NYSE:WAG),-,IQTR42378253,100,"Walgreen Co. (NYSE: WAG) entered into agreement to acquire Whole Health Management, Inc. in cash on March 14, 2008. The financial terms of the deal were not disclosed. Whole Health Management also will become part of Walgreens Health and Wellness division. This division will be headed by Hal Rosenbluth. The consummation of the acquisition is subject to regulatory approvals and other customary conditions.

In a separate deal, Walgreen Co. (NYSE: WAG) signed an agreement and plan of merger to acquire I-trax, Inc. (AMEX: DMX) for $248.17 million in cash on March 14, 2008. The combination of I-trax and Whole Health Management will operate under the name Take Care Employer Healthcare Solutions. Both acquisitions are expected to close within 60 days. Peter J. Solomon Co. acted as financial advisor to Walgreen Co. TripleTree acted as financial advisor to Whole Health Management, Inc. Chris E. Abbinante, Gregory E. Durkin, Matthew T. Gunnison and Claire H. Holland of Sidley Austin acted as legal advisor of Whole Health Management, Inc.",-,-,-,56541.3,2099.1,Cash,Common Equity,"Walgreen Co. (NYSE: WAG) completed the acquisition of Whole Health Management, Inc. on May 1, 2008.",Purchase Acquisition,Friendly,Ohio
2/28/2008,"Five Patient Care Facilities in Colorado, California, Florida, Arizona and West Virginia",Closed,-,"Hanger, Inc. (NYSE:HGR)",-,IQTR41690640,100,"Hanger Orthopedic Group, Inc. (NYSE: HGR) acquired Colorado Professional Medical, Inc., Beverly Hills Prosthetics-Orthotics, Inc., Orthotic-Prosthetic Center, Inc., Precision Orthotics of Tuscon, Inc., and Compton-Jones Orthotics, LLC on February 28, 2008. The acquisition adds a net total of nine additional patient care facilities in Colorado, California, Florida, Arizona and West Virginia. These transactions were financed with internally generated cash flows and will be accretive to earnings after the completion of the initial integration period. David S. Sanders, Timothy C. Maples, Christian P. Fonss and Teri L. Champ of Foley & Lardner LLP acted as legal advisors for Hanger Orthopedic Group Inc.",-,-,-,637.35,17.6,Unknown,Asset,"Hanger Orthopedic Group, Inc. (NYSE: HGR) completed the acquisition of Colorado Professional Medical, Inc., Beverly Hills Prosthetics-Orthotics, Inc., Orthotic-Prosthetic Center, Inc., Precision Orthotics of Tuscon, Inc., and Compton-Jones Orthotics, LLC on February 28, 2008.",Purchase Acquisition,Friendly,-
2/27/2008,"Amedisys West Virginia, L.L.C.",Closed,-,Amedisys Inc. (NasdaqGS:AMED),-,IQTR51235702,100,Amedisys Inc. (NasdaqGS: AMED) acquired Extend A Care Home Health in December 2007. Dunbar location of Extend A Care would continue serving the area and the staff would remain in place. Jan Vineyard will now serve as chairwoman of Extend A Care.,-,-,-,697.93,65.11,Unknown,Common Equity,Amedisys Inc. (NasdaqGS: AMED) completed the acquisition of Extend A Care Home Health in December 2007.,Purchase Acquisition,Friendly,West Virginia
2/18/2008,"TLC Health Care Services, L.L.C.",Closed,394.5,Amedisys Inc. (NasdaqGS:AMED),"Arcapita Bank B.S.C.(c), Investment Arm; Golub Capital; Monroe Capital LLC",IQTR41294341,100,"Amedisys Inc. (NasdaqNM: AMED) signed a definitive stock purchase agreement to acquire TLC Health Care Services, Inc. from Arcapita Inc., Monroe Capital LLC, Istithmar World Capital P.J.S.C. and other shareholders for approximately $390 million in cash on February 18, 2008. The option and warrant holders to purchase TLC Health common stock will receive cash equivalent to the consideration per common stock over their respective exercise prices. The purchase price is subject to certain customary purchase price adjustments for working capital, cash, indebtedness and transaction expenses. The purchase agreement provides for a two-step closing process in the event state regulatory approval for certain TLC operations, specifically those in West Virginia and the District of Columbia, are not received by the initial closing date. In such event, a portion of the purchase consideration would be placed into escrow pending receipt of those state approvals and Amedisys and TLC would enter into a shared services agreement for the affected locations during that interim period. Amedisys intends to finance the TLC acquisition with a new $500 million credit facility pursuant to a fully underwritten financing commitment provided by JPMorgan Chase, UBS and Oppenheimer and amendment to current $100 million revolver that Amedisys had in place at December 31, 2007. The termination fee for the transaction is $8 million payable by Amedisys in the event of termination.

The transaction is subject to customary closing conditions, including receipt of certain regulatory approvals, receipt of third party consents, antitrust approval, resignation of TLC Health Care Services’ director and execution of employment agreement. The transaction is expected to close on or before April 30, 2008. Amedisys does not expect the acquisition will have a material impact on current estimates of earnings per share for 2008, after adjustment for one-time expenses related to acquisition, financing, and certain other costs and expects the acquisition of TLC to have a materially positive impact on its earnings per share in 2009.

Raymond James & Associates acted as financial advisor while Lee C. Kantrow of Kantrow, Spaht, Weaver & Blitzer acted as a legal advisor to Amedisys. Navigant Capital Advisors, LLC acted as financial advisor to TLC Health Care while Jon R. Harris, Jay Harris, Rob Keenan, Will Shearer, Tom Hawk, Kate Stern, Don Hensel, Jeff Spigel and Susan Reisner of King & Spalding LLP acted as legal advisors for Arcapita. Robert W. Baird & Co. acted as financial advisor on the transaction.",394.5,-,-,697.93,65.11,Cash,Common Equity,"Amedisys Inc. (NasdaqNM: AMED) completed the acquisition of TLC Health Care Services, Inc on March 26, 2008. Under the terms of the first phase $16.66 million was deposited in escrow which included $15.8 million for indemnification purposes and working capital price adjustments and $0.9 million for the delayed acquisition of TLC’s West Virginia agencies. As per the terms of the transaction, required regulatory approvals associated with the acquisition of TLC’s West Virginia agencies will result in a later closing date for the three home health and three hospice agencies located in that state. Amedisys anticipates that the West Virginia regulatory approvals and separate closing will occur in the second quarter of 2008. On June 20, 2008, Amedisys  acquired the TLC West Virginia agencies. As a result, $0.86 million that had been placed into escrow was released and paid to the selling stockholders.",Purchase Acquisition,Friendly,New York
2/7/2008,"Family Home Health Care, Inc.",Closed,47.6,Amedisys Inc. (NasdaqGS:AMED),-,IQTR40849904,100,"Amedisys Inc. (NasdaqNM: AMED) signed a definitive agreement to acquire Family Home Health Care, Inc. for $43 million on February 7, 2008. The consideration of $43 million is subject to working capital adjustments and will be funded with $36 million in cash and a $7 million note payable over two years. Family Home Health Care, Inc. generated revenues of approximately $39 million for the twelve-month period ended November 30, 2007. The transaction is subject to customary closing conditions, including regulatory approval and is expected to close in the first quarter of 2008. The acquisition is not expected to add materially to earnings of Amedisys in 2008.",47.6,39,-,697.93,65.11,Combinations,Common Equity,"Amedisys Inc. (NasdaqNM: AMED) completed the acquisition of Family Home Health Care, Inc. for $47.6 million on February 7, 2008. Under the terms, Amedisys paid $41 million in cash and $6.6 million in promissory notes.",Purchase Acquisition,Friendly,Kentucky
1/17/2008,"Farmacias El Amal, 20 drugstores in Puerto Rico",Effective,-,Walgreen Co. (NYSE:WAG),"A+HC Holding, Inc.",IQTR40177759,100,"Walgreens Co. (NYSE:WAG) agreed to acquire 20 drugstores in Puerto Rico from Farmacias El Amal on January 17, 2008. Farmacias El Amal will continue operating its other 41 stores in Puerto Rico. The financial terms of the transaction were not disclosed. The transaction is subject to customary closing conditions and is expected to close in the first quarter of 2008. Chris E. Abbinante, Larry A. Barden, Erika L. Pfleger, Jeffrey J. Truitt and Luke J. Valentino of Sidley Austin LLP acted as legal advisors for Walgreen Co.

During the quarter ended May 31, 2008, Walgreen completed the acquisition of 15 drugstores from Farmacias El Amal.",-,-,-,55081.4,2065.1,Unknown,Asset,"Walgreens Co. (NYSE:WAG) completed the acquisition of 20 drugstores in Puerto Rico from Farmacias El Amal effective as on August 31, 2008.",Purchase Acquisition,Friendly,Puerto Rico
1/2/2008,"L & M Home Health Agency, Inc.",Closed,-,"LHC Group, Inc. (NasdaqGS:LHCG)",-,IQTR39744605,100,"LHC Group, Inc. (NasdaqNM:LHCG) acquired all the assets of Access Home Health Agency, Inc. on January 2, 2008.",-,-,-,298.03,21.42,Unknown,Asset,"LHC Group, Inc. (NasdaqNM:LHCG) completed the acquisition of all the assets of Access Home Health Agency, Inc. on January 2, 2008.",Purchase Acquisition,Friendly,Missouri
1/2/2008,"Memorial University Medical Center, Six Home Health Agencies",Closed,13.4,Amedisys Inc. (NasdaqGS:AMED),"Memorial Health, Inc.",IQTR39745512,100,"Amedisys Inc. (NasdaqNM:AMED) acquired six home health agencies from Memorial Health University Medical Center, Inc. for $13.4 million in cash on December 31, 2007. The acquisition is not expected to add materially to Amedisys' earnings in 2008.",13.4,-,-,697.93,65.11,Cash,Asset,"Amedisys Inc. (NasdaqNM:AMED) completed the acquisition of six home health agencies from Memorial Health University Medical Center, Inc. on December 31, 2007.",Purchase Acquisition,Friendly,-
12/3/2007,"St. Mary's Medical Center Home Health Services, LLC",Closed,-,"LHC Group, Inc. (NasdaqGS:LHCG)",-,IQTR39333937,-,"LHC Group, Inc. (NASDAQ: LHCG) acquired a controlling interest in the assets of St. Mary's Medical Center, Inc., through a partnership agreement on December 3, 2007. For the 12 months ended December 31, 2006, St. Mary's Medical Center had approximately $1.9 million in revenues.",-,1.9,-,276.57,25.14,Unknown,Asset,"LHC Group, Inc. (NASDAQ: LHCG) completed the acquisition of a controlling interest in the assets of St. Mary's Medical Center, Inc. on December 3, 2007.",Purchase Acquisition,Friendly,West Virginia
11/28/2007,Stagner Orthopedic Services and MHC Prosthetics LLC,Closed,-,"Hanger, Inc. (NYSE:HGR)",-,IQTR39195403,100,"Hanger Orthopedic Group, Inc. (NYSE: HGR) acquired Stagner Orthopedic Services and MHC Prosthetics LLC on November 18, 2007. The financial terms of the transaction were not disclosed. The transaction is financed with internally generated cash flows and is accretive to earnings immediately. Foley & Lardner LLP acted as legal advisor for Hanger Orthopedic Group, Inc. ",-,-,-,620.48,15.49,Cash,Asset,"Hanger Orthopedic Group, Inc. (NYSE: HGR) completed the acquisition of Stagner Orthopedic Services and MHC Prosthetics LLC on November 18, 2007.",Purchase Acquisition,Friendly,-
11/5/2007,"TabSafe Prescription Services, LLC, Two Pharmacies",Closed,-,Walgreen Co. (NYSE:WAG),"TabSafe Prescription Services, LLC",IQTR38779008,100,"Walgreens (NYSE: WAG) acquired two pharmacies from TabSafe Prescription Services, LLC on November 5, 2007. TabSafe Medical Services will retain its ownership and rights to manufacture and market the TabSafe medication management machine. The pharmacies will operate as part of Walgreen's medication-management company SeniorMed.",-,-,-,53762,2041.3,Unknown,Asset,"Walgreens completed the acquisition of two pharmacies from TabSafe Prescription Services, LLC on November 5, 2007.",Purchase Acquisition,Friendly,-
11/1/2007,"HealthGroup of Alabama, Controlling Interest in HomeCare Huntsville & HomeCare Decatur",Closed,-,"LHC Group, Inc. (NasdaqGS:LHCG)",Healthgroup Of Alabama Llc,IQTR38721790,-,"LHC Group, Inc. (NASDAQ: LHCG) acquired controlling interest in assets of HomeCare-Huntsville and HomeCare-Decatur from HealthGroup of Alabama on November 1, 2007. Total combined medicare revenue for 12 months for these locations is approximately $3.2 million.",-,3.2,-,276.57,25.14,Unknown,Asset,"LHC Group, Inc. (NASDAQ: LHCG) completed the acquisition of controlling interest in assets of HomeCare-Huntsville and HomeCare-Decatur from HealthGroup of Alabama on November 1, 2007.",Purchase Acquisition,Friendly,-
